specifications;price;address;date;parsing_dt;m2;rooms;floor;from_floors;price_m2;streets
3-к квартира, 86 м², 12/18 эт.;3227000;ул. Дзержинского, д. 19;4 дня назад;2020-11-30 09:55:56.776530;86.0;3; 12;18 эт.;37523;Улица Дзержинского
3-к квартира, 111 м², 20/30 эт.;2890000;с. Дядьково, жилой комплекс Шереметьевский Квартал;1 неделю назад;2020-11-30 09:55:56.776530;111.0;3; 20;30 эт.;26036;село Дядьково
1-к квартира, 43 м², 14/26 эт.;3850000;ул. Зубковой, д. 8В, корп. 1;6 дней назад;2020-11-30 09:55:56.776530;43.0;1; 14;26 эт.;89534;Улица Зубковой
2-к квартира, 60.7 м², 2/20 эт.;3729668;с. Дядьково, пр-д 2-й Бульварный, д. 2;3 недели назад;2020-11-30 09:55:56.776530;60.7;2; 2;20 эт.;61444;село Дядьково
3-к квартира, 73 м², 9/17 эт.;3357873;Солотчинское ш., д. 4;1 неделю назад;2020-11-30 09:55:56.776530;73.0;3; 9;17 эт.;45998;Солотчинское шоссе
1-к квартира, 47 м², 7/20 эт.;2574320;Касимовское ш., жилой дом;1 неделю назад;2020-11-30 09:55:56.776530;47.0;1; 7;20 эт.;54772;Касимовское шоссе
3-к квартира, 88.1 м², 10/26 эт.;3873758;ул. Бугровка, жилой дом;1 неделю назад;2020-11-30 09:56:04.691451;88.1;3; 10;26 эт.;43970;Улица Бугровка
1-к квартира, 43 м², 13/17 эт.;3400000;ул. Чапаева, д. 61;1 неделю назад;2020-11-30 09:56:04.691451;43.0;1; 13;17 эт.;79069;Улица Чапаева
3-к квартира, 89 м², 9/27 эт.;3959159;ул. Зубковой, д. 8В, корп. 1;1 неделю назад;2020-11-30 09:56:04.691451;89.0;3; 9;27 эт.;44484;Улица Зубковой
2-к квартира, 60.4 м², 11/25 эт.;3150000;ул. Бугровка, жилой дом;1 неделю назад;2020-11-30 09:56:04.691451;60.4;2; 11;25 эт.;52152;Улица Бугровка
1-к квартира, 56.1 м², 14/26 эт.;2578099;ул. Бугровка, жилой дом;1 неделю назад;2020-11-30 09:56:04.691451;56.1;1; 14;26 эт.;45955;Улица Бугровка
2-к квартира, 60.9 м², 14/26 эт.;2796044;ул. Кальная, д. 79;1 неделю назад;2020-11-30 09:56:04.691451;60.9;2; 14;26 эт.;45912;Кальная улица
3-к квартира, 94.2 м², 14/27 эт.;4710000;с. Дядьково, блок-секция 4А;5 дней назад;2020-11-30 09:56:04.691451;94.2;3; 14;27 эт.;50000;село Дядьково
3-к квартира, 77 м², 1/17 эт.;2626750;ул. Чапаева, д. 61;6 дней назад;2020-11-30 09:56:04.691451;77.0;3; 1;17 эт.;34113;Улица Чапаева
1-к квартира, 32.5 м², 8/18 эт.;5200000;Солотчинское ш., стр. 3;4 дня назад;2020-11-30 09:56:04.691451;32.5;1; 8;18 эт.;160000;Солотчинское шоссе
1-к квартира, 45.2 м², 9/14 эт.;4150000;с. Дядьково, ул. Большая, д. 5;3 дня назад;2020-11-30 09:56:04.691451;45.2;1; 9;14 эт.;91814;село Дядьково
1-к квартира, 40.5 м², 19/20 эт.;3500000;Московское ш., 1 оч.;5 дней назад;2020-11-30 09:56:04.691451;40.5;1; 19;20 эт.;86419;Московское шоссе
Квартира-студия, 30 м², 13/18 эт.;1685000;ул. Шереметьевская, д. 13;1 неделю назад;2020-11-30 09:56:04.691451;30.0;1; 13;18 эт.;56166;Шереметьевская улица
2-к квартира, 70.9 м², 4/25 эт.;2575000;с. Дядьково, 2-й Бульварный пр-д, д. 3;6 дней назад;2020-11-30 09:56:04.691451;70.9;2; 4;25 эт.;36318;село Дядьково
3-к квартира, 102 м², 5/21 эт.;3550000;ул. Быстрецкая, стр. 3;3 дня назад;2020-11-30 09:56:04.691451;102.0;3; 5;21 эт.;34803;Быстрецкая улица
3-к квартира, 76.1 м², 19/25 эт.;4034700;с. Дядьково, блок-секция 3А;3 дня назад;2020-11-30 09:56:04.691451;76.1;3; 19;25 эт.;53018;село Дядьково
1-к квартира, 36.3 м², 15/28 эт.;2190200;ул. Быстрецкая, стр. 2;6 дней назад;2020-11-30 09:56:04.691451;36.3;1; 15;28 эт.;60336;Быстрецкая улица
2-к квартира, 68 м², 15/16 эт.;2227934;ул. Шереметьевская, д. 6, корп. 2;1 неделю назад;2020-11-30 09:56:04.691451;68.0;2; 15;16 эт.;32763;Шереметьевская улица
2-к квартира, 68 м², 11/26 эт.;1530000;ул. Полевая, д. 73, секц. 1;4 дня назад;2020-11-30 09:56:04.691451;68.0;2; 11;26 эт.;22500;Полевая улица
3-к квартира, 77.8 м², 18/18 эт.;3603600;7 мкр., д. 6;1 неделю назад;2020-11-30 09:56:04.691451;77.8;3; 18;18 эт.;46318;7-й микрорайон
2-к квартира, 66 м², 12/26 эт.;3974880;ул. Бугровка, жилой дом;2 недели назад;2020-11-30 09:56:04.691451;66.0;2; 12;26 эт.;60225;Улица Бугровка
1-к квартира, 40.3 м², 12/18 эт.;4566000;Касимовское ш., жилой дом;1 неделю назад;2020-11-30 09:56:04.691451;40.3;1; 12;18 эт.;113300;Касимовское шоссе
2-к квартира, 52.5 м², 14/18 эт.;2257000;с. Дядьково, жилой комплекс Шереметьевский Квартал;5 дней назад;2020-11-30 09:56:04.691451;52.5;2; 14;18 эт.;42990;село Дядьково
2-к квартира, 67 м², 8/10 эт.;3280000;с. Дядьково, блок-секция 3А;5 дней назад;2020-11-30 09:56:04.691451;67.0;2; 8;10 эт.;48955;село Дядьково
1-к квартира, 42 м², 7/16 эт.;3140434;Октябрьский район, район Песочня;1 неделю назад;2020-11-30 09:56:04.691451;42.0;1; 7;16 эт.;74772;Unknown
2-к квартира, 68.9 м², 19/26 эт.;3807418;7 мкр., д. 6;1 неделю назад;2020-11-30 09:56:04.691451;68.9;2; 19;26 эт.;55260;7-й микрорайон
Квартира-студия, 26 м², 8/8 эт.;3558000;Касимовское ш., жилой дом;2 недели назад;2020-11-30 09:56:04.691451;26.0;1; 8;8 эт.;136846;Касимовское шоссе
2-к квартира, 65.7 м², 2/27 эт.;2096470;Большая ул., 106к1;1 неделю назад;2020-11-30 09:56:04.691451;65.7;2; 2;27 эт.;31909;Большая улица
1-к квартира, 39.8 м², 2/17 эт.;2415000;ул. Кальная, д. 79;4 дня назад;2020-11-30 09:56:04.691451;39.8;1; 2;17 эт.;60678;Кальная улица
1-к квартира, 32.4 м², 2/25 эт.;6000000;с. Дядьково, ул. Большая, д. 6;5 дней назад;2020-11-30 09:56:04.691451;32.4;1; 2;25 эт.;185185;село Дядьково
3-к квартира, 88 м², 20/25 эт.;1942000;ул. Быстрецкая, стр. 1;1 неделю назад;2020-11-30 09:56:04.691451;88.0;3; 20;25 эт.;22068;Быстрецкая улица
1-к квартира, 46.2 м², 2/24 эт.;3719073;ш. Касимовское, д. 67, корп. 3;1 неделю назад;2020-11-30 09:56:04.691451;46.2;1; 2;24 эт.;80499;Касимовское шоссе
3-к квартира, 79.1 м², 10/17 эт.;1599000;с. Дядьково, ул. Большая, д. 6;5 дней назад;2020-11-30 09:56:04.691451;79.1;3; 10;17 эт.;20214;село Дядьково
2-к квартира, 59.1 м², 7/10 эт.;3300000;ул. Пугачева, д. 10;1 неделю назад;2020-11-30 09:56:04.691451;59.1;2; 7;10 эт.;55837;Улица Пугачева
2-к квартира, 65.8 м², 19/21 эт.;2091420;ул. Чапаева, д. 61;4 дня назад;2020-11-30 09:56:04.691451;65.8;2; 19;21 эт.;31784;Улица Чапаева
1-к квартира, 27.6 м², 16/26 эт.;1790000;с. Дядьково, жилой комплекс Шереметьевский Квартал;2 недели назад;2020-11-30 09:56:04.691451;27.6;1; 16;26 эт.;64855;село Дядьково
3-к квартира, 86 м², 9/18 эт.;4214000;мкр. Олимпийский городок, д. 1;4 дня назад;2020-11-30 09:56:04.691451;86.0;3; 9;18 эт.;49000;микрорайон Олимпийский городок
1-к квартира, 39 м², 3/3 эт.;2924800;с. Дядьково, ул. Малиновая, д. 1;6 дней назад;2020-11-30 09:56:04.691451;39.0;1; 3;3 эт.;74994;село Дядьково
2-к квартира, 75.3 м², 15/20 эт.;3874920;ул. Бугровка, жилой дом;4 дня назад;2020-11-30 09:56:04.691451;75.3;2; 15;20 эт.;51459;Улица Бугровка
2-к квартира, 43 м², 2/6 эт.;3300000;с. Дядьково, квартал Бульвар Оптимистов;1 неделю назад;2020-11-30 09:56:04.691451;43.0;2; 2;6 эт.;76744;село Дядьково
1-к квартира, 43.7 м², 5/26 эт.;4300000;ул. Полевая, д. 73, секц. 1;2 недели назад;2020-11-30 09:56:04.691451;43.7;1; 5;26 эт.;98398;Полевая улица
2-к квартира, 70 м², 6/18 эт.;1610910;с. Дядьково, ул. Малиновая, д. 3;6 дней назад;2020-11-30 09:56:04.691451;70.0;2; 6;18 эт.;23013;село Дядьково
1-к квартира, 36 м², 10/28 эт.;4144128;ул. Зубковой, д. 8В, корп. 1;1 неделю назад;2020-11-30 09:56:04.691451;36.0;1; 10;28 эт.;115114;Улица Зубковой
2-к квартира, 60.4 м², 8/18 эт.;600000;ул. Островского, д. 122, блок-секция 1А, 1Б, 1В;2 недели назад;2020-11-30 09:56:04.691451;60.4;2; 8;18 эт.;9933;Поселок Остров
1-к квартира, 35 м², 4/7 эт.;3400000;ул. Бугровка, жилой дом;1 неделю назад;2020-11-30 09:56:04.691451;35.0;1; 4;7 эт.;97142;Улица Бугровка
3-к квартира, 87 м², 12/26 эт.;3936674;ул. Зубковой, д. 8В, корп. 1;1 неделю назад;2020-11-30 09:56:08.888150;87.0;3; 12;26 эт.;45249;Улица Зубковой
3-к квартира, 77.7 м², 2/17 эт.;3535350;с. Дядьково, ул. Большая, д. 6;4 дня назад;2020-11-30 09:56:08.888150;77.7;3; 2;17 эт.;45500;село Дядьково
1-к квартира, 37 м², 20/28 эт.;1940000;Солотчинское ш., 4;2 недели назад;2020-11-30 09:56:08.888150;37.0;1; 20;28 эт.;52432;Солотчинское шоссе
1-к квартира, 41 м², 11/15 эт.;1940000;пер. Южный, д. 8;1 неделю назад;2020-11-30 09:56:08.888150;41.0;1; 11;15 эт.;47317;Южный переулок
2-к квартира, 60.5 м², 14/18 эт.;3632000;ул. Полевая, д. 73, секц. 3;1 неделю назад;2020-11-30 09:56:08.888150;60.5;2; 14;18 эт.;60033;Полевая улица
2-к квартира, 65 м², 13/24 эт.;2808520;ул. Чернышевского, д. 3;2 недели назад;2020-11-30 09:56:08.888150;65.0;2; 13;24 эт.;43208;Улица Чернышевского
2-к квартира, 56 м², 6/18 эт.;2474000;с. Дядьково, ул. Зеленая/2-й Бульварный пр-д, жилые дома;1 неделю назад;2020-11-30 09:56:08.888150;56.0;2; 6;18 эт.;44178;село Дядьково
3-к квартира, 88 м², 16/26 эт.;2326000;Россия, Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:56:08.888150;88.0;3; 16;26 эт.;26431;Поселок Солотча
3-к квартира, 95.1 м², 13/16 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:56:08.888150;95.1;3; 13;16 эт.;27644;Поселок Солотча
3-к квартира, 78 м², 10/18 эт.;2641000;Рязань, Советский район, район Солотча;4 дня назад;2020-11-30 09:56:08.888150;78.0;3; 10;18 эт.;33858;Поселок Солотча
3-к квартира, 62 м², 18/18 эт.;4675662;Касимовское ш., жилой дом;1 неделю назад;2020-11-30 09:56:08.888150;62.0;3; 18;18 эт.;75413;Касимовское шоссе
1-к квартира, 36.4 м², 15/15 эт.;4034700;ул. Шереметьевская, д. 13;3 дня назад;2020-11-30 09:56:08.888150;36.4;1; 15;15 эт.;110843;Шереметьевская улица
2-к квартира, 63.8 м², 7/15 эт.;3198000;с. Дядьково, блок-секция 3А;6 дней назад;2020-11-30 09:56:08.888150;63.8;2; 7;15 эт.;50125;село Дядьково
2-к квартира, 65.2 м², 14/20 эт.;2626750;с. Дядьково, блок-секция 4А;6 дней назад;2020-11-30 09:56:08.888150;65.2;2; 14;20 эт.;40287;село Дядьково
1-к квартира, 35 м², 4/10 эт.;5200000;ул. Чапаева, д. 61;4 дня назад;2020-11-30 09:56:08.888150;35.0;1; 4;10 эт.;148571;Улица Чапаева
1-к квартира, 36.1 м², 2/16 эт.;4150000;Солотчинское ш., стр. 3;3 дня назад;2020-11-30 09:56:08.888150;36.1;1; 2;16 эт.;114958;Солотчинское шоссе
1-к квартира, 45 м², 4/10 эт.;4450000;ул. Чапаева, д. 61;1 неделю назад;2020-11-30 09:56:08.888150;45.0;1; 4;10 эт.;98888;Улица Чапаева
1-к квартира, 38 м², 18/28 эт.;1654000;ул. Рыбновская, д. 5;1 неделю назад;2020-11-30 09:56:08.888150;38.0;1; 18;28 эт.;43526;Улица Княжье Поле
1-к квартира, 45 м², 2/16 эт.;2968995;ул. Чернышевского, д. 3;1 неделю назад;2020-11-30 09:56:08.888150;45.0;1; 2;16 эт.;65977;Улица Чернышевского
2-к квартира, 56.9 м², 10/10 эт.;3998750;Михайловский район, Михайловское ш., 234к1;1 неделю назад;2020-11-30 09:56:08.888150;56.9;2; 10;10 эт.;70276;Михайловское шоссе
1-к квартира, 43.8 м², 12/26 эт.;1900000;ул. Шереметьевская, д. 12;1 неделю назад;2020-11-30 09:56:08.888150;43.8;1; 12;26 эт.;43378;Шереметьевская улица
2-к квартира, 58.5 м², 6/10 эт.;1860000;пр-д Окский, стр. 1;1 неделю назад;2020-11-30 09:56:08.888150;58.5;2; 6;10 эт.;31794;Окский проезд
2-к квартира, 61 м², 9/14 эт.;2450000;Солотчинское ш., 4;1 неделю назад;2020-11-30 09:56:08.888150;61.0;2; 9;14 эт.;40163;Солотчинское шоссе
3-к квартира, 80 м², 15/17 эт.;2199000;7 мкр., д. 6;2 недели назад;2020-11-30 09:56:08.888150;80.0;3; 15;17 эт.;27487;7-й микрорайон
1-к квартира, 37.4 м², 11/16 эт.;2113120;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;1 неделю назад;2020-11-30 09:56:08.888150;37.4;1; 11;16 эт.;56500;Касимовское шоссе
3-к квартира, 78.5 м², 20/20 эт.;4263750;ул. Зубковой, д. 8В, корп. 1;1 неделю назад;2020-11-30 09:56:08.888150;78.5;3; 20;20 эт.;54315;Улица Зубковой
3-к квартира, 88.3 м², 7/26 эт.;2004000;ул. Московская, д. 8, корп. 1;1 неделю назад;2020-11-30 09:56:08.888150;88.3;3; 7;26 эт.;22695;Московская улица
2-к квартира, 71 м², 9/23 эт.;4500000;ул. 2-я Линия, жилой дом;1 неделю назад;2020-11-30 09:56:08.888150;71.0;2; 9;23 эт.;63380;Улица 2-я Линия
1-к квартира, 47.2 м², 2/10 эт.;4350000;с. Дядьково, ул. Большая, д. 5;2 недели назад;2020-11-30 09:56:08.888150;47.2;1; 2;10 эт.;92161;село Дядьково
2-к квартира, 64.7 м², 7/10 эт.;3700000;Касимовское ш., жилой дом;1 неделю назад;2020-11-30 09:56:08.888150;64.7;2; 7;10 эт.;57187;Касимовское шоссе
1-к квартира, 44 м², 2/10 эт.;1765000;ш. Московское, стр. 3;1 неделю назад;2020-11-30 09:56:08.888150;44.0;1; 2;10 эт.;40113;Московское шоссе
3-к квартира, 100.7 м², 1/4 эт.;3900000;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;1 неделю назад;2020-11-30 09:56:08.888150;100.7;3; 1;4 эт.;38728;Касимовское шоссе
1-к квартира, 38 м², 18/28 эт.;4675000;Большая ул., 106к1;1 неделю назад;2020-11-30 09:56:08.888150;38.0;1; 18;28 эт.;123026;Большая улица
1-к квартира, 41.7 м², 4/10 эт.;3862192;ш. Касимовское, стр. 80;1 неделю назад;2020-11-30 09:56:08.888150;41.7;1; 4;10 эт.;92618;Касимовское шоссе
1-к квартира, 41 м², 17/25 эт.;3398400;Рязань, улица Горького;6 дней назад;2020-11-30 09:56:08.888150;41.0;1; 17;25 эт.;82887;Улица Горького
1-к квартира, 44 м², 5/27 эт.;3411271;ул. Введенская, д. 115;1 неделю назад;2020-11-30 09:56:08.888150;44.0;1; 5;27 эт.;77528;Введенская улица
2-к квартира, 62 м², 14/16 эт.;2200000;ул. Зубковой, д. 27,  корп. 5;2 недели назад;2020-11-30 09:56:08.888150;62.0;2; 14;16 эт.;35483;Улица Зубковой
3-к квартира, 79.2 м², 8/20 эт.;7952930;ул. Зубковой, д. 8В, корп. 1;1 неделю назад;2020-11-30 09:56:08.888150;79.2;3; 8;20 эт.;100415;Улица Зубковой
2-к квартира, 58.9 м², 12/20 эт.;2047068;7 мкр., д. 6;1 неделю назад;2020-11-30 09:56:08.888150;58.9;2; 12;20 эт.;34754;7-й микрорайон
3-к квартира, 59.1 м², 7/10 эт.;3199000;ул. Олимпийский городок, д. 4;1 неделю назад;2020-11-30 09:56:08.888150;59.1;3; 7;10 эт.;54128;микрорайон Олимпийский городок
2-к квартира, 65.3 м², 3/16 эт.;1675000;ул. Олимпийский городок, д. 4;2 недели назад;2020-11-30 09:56:08.888150;65.3;2; 3;16 эт.;25650;микрорайон Олимпийский городок
2-к квартира, 65 м², 3/20 эт.;2004752;ул. Пугачева, д. 10;1 неделю назад;2020-11-30 09:56:08.888150;65.0;2; 3;20 эт.;30842;Улица Пугачева
2-к квартира, 61.6 м², 5/28 эт.;2834000;ул. Княжье Поле, стр. 8;2 недели назад;2020-11-30 09:56:08.888150;61.6;2; 5;28 эт.;46006;Улица Княжье Поле
2-к квартира, 59 м², 7/20 эт.;3775680;ул. Чапаева, д. 61;1 неделю назад;2020-11-30 09:56:08.888150;59.0;2; 7;20 эт.;63994;Улица Чапаева
2-к квартира, 66.2 м², 2/19 эт.;2770000;Солотчинское ш., стр. 3;1 неделю назад;2020-11-30 09:56:08.888150;66.2;2; 2;19 эт.;41842;Солотчинское шоссе
3-к квартира, 111.4 м², 7/12 эт.;3330000;ул. Олимпийский городок, д. 4;1 неделю назад;2020-11-30 09:56:08.888150;111.4;3; 7;12 эт.;29892;микрорайон Олимпийский городок
3-к квартира, 79.2 м², 4/17 эт.;3190000;ул. Васильевская, д. 7;1 неделю назад;2020-11-30 09:56:08.888150;79.2;3; 4;17 эт.;40277;Васильевская улица
1-к квартира, 41 м², 5/18 эт.;4550000;ул. Полетаева, 25к2;1 неделю назад;2020-11-30 09:56:08.888150;41.0;1; 5;18 эт.;110975;Улица Полетаева
2-к квартира, 66 м², 22/27 эт.;4183870;с. Дядьково, ул. Большая, д. 5;1 неделю назад;2020-11-30 09:56:08.888150;66.0;2; 22;27 эт.;63391;село Дядьково
1-к квартира, 38 м², 14/17 эт.;2708000;с. Дядьково, пр. Бульвар Оптимистов;2 недели назад;2020-11-30 09:56:08.888150;38.0;1; 14;17 эт.;71263;село Дядьково
1-к квартира, 43.6 м², 19/27 эт.;2354400;ул. Кальная, д. 79;1 неделю назад;2020-11-30 09:56:13.777014;43.6;1; 19;27 эт.;54000;Кальная улица
2-к квартира, 52.5 м², 6/10 эт.;2480000;ул. Песоченская, д. 12;3 недели назад;2020-11-30 09:56:13.777014;52.5;2; 6;10 эт.;47238;Песоченская улица
1-к квартира, 38 м², 18/21 эт.;1776600;с. Дядьково, 2-й Бульварный пр-д, д. 2;2 недели назад;2020-11-30 09:56:13.777014;38.0;1; 18;21 эт.;46752;село Дядьково
2-к квартира, 72.8 м², 8/22 эт.;4600000;ул. Чапаева, д. 61;1 неделю назад;2020-11-30 09:56:13.777014;72.8;2; 8;22 эт.;63186;Улица Чапаева
2-к квартира, 48.4 м², 15/18 эт.;2274000;с. Дядьково, блок-секция 3А;1 неделю назад;2020-11-30 09:56:13.777014;48.4;2; 15;18 эт.;46983;село Дядьково
2-к квартира, 61.1 м², 19/24 эт.;3507000;ул. Интернациональная, д. 19А;2 недели назад;2020-11-30 09:56:13.777014;61.1;2; 19;24 эт.;57397;Интернациональная улица
3-к квартира, 91.8 м², 17/23 эт.;4680000;Московское ш., 1 оч.;1 неделю назад;2020-11-30 09:56:13.777014;91.8;3; 17;23 эт.;50980;Московское шоссе
2-к квартира, 58.3 м², 17/20 эт.;3550000;ул. Шереметьевская, д. 13;3 дня назад;2020-11-30 09:56:13.777014;58.3;2; 17;20 эт.;60891;Шереметьевская улица
1-к квартира, 24.6 м², 7/25 эт.;4034700;с. Дядьково, 2-й Бульварный пр-д, д. 3;3 дня назад;2020-11-30 09:56:13.777014;24.6;1; 7;25 эт.;164012;село Дядьково
1-к квартира, 43.4 м², 10/10 эт.;2190200;ул. Семчинская, д. 3, корп. 2;6 дней назад;2020-11-30 09:56:13.777014;43.4;1; 10;10 эт.;50465;Семчинская улица
1-к квартира, 45.2 м², 19/25 эт.;2840000;мкр. Олимпийский городок, д. 2;2 дня назад;2020-11-30 09:56:13.777014;45.2;1; 19;25 эт.;62831;микрорайон Олимпийский городок
2-к квартира, 74 м², 11/24 эт.;1650000;пр-д Окский, стр. 2;2 недели назад;2020-11-30 09:56:13.777014;74.0;2; 11;24 эт.;22297;Окский проезд
2-к квартира, 65.7 м², 22/27 эт.;2168000;Россия, Рязань, Советский район, район Солотча;1 неделю назад;2020-11-30 09:56:13.777014;65.7;2; 22;27 эт.;32998;Поселок Солотча
2-к квартира, 80 м², 9/10 эт.;2326000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:56:13.777014;80.0;2; 9;10 эт.;29075;Поселок Солотча
1-к квартира, 41 м², 4/12 эт.;2629000;Рязань, Советский район, район Солотча;5 дней назад;2020-11-30 09:56:13.777014;41.0;1; 4;12 эт.;64121;Поселок Солотча
1-к квартира, 39 м², 9/30 эт.;2641000;ул. Быстрецкая, стр. 2;4 дня назад;2020-11-30 09:56:13.777014;39.0;1; 9;30 эт.;67717;Быстрецкая улица
1-к квартира, 42 м², 9/15 эт.;2400000;ул. Островского, д. 122, блок-секция 1А, 1Б, 1В;1 неделю назад;2020-11-30 09:56:13.777014;42.0;1; 9;15 эт.;57142;Поселок Остров
1-к квартира, 41 м², 11/17 эт.;4360000;ул. Кальная, д. 79;5 дней назад;2020-11-30 09:56:13.777014;41.0;1; 11;17 эт.;106341;Кальная улица
1-к квартира, 31 м², 13/22 эт.;3284500;ул. Введенская, д. 115;1 неделю назад;2020-11-30 09:56:13.777014;31.0;1; 13;22 эт.;105951;Введенская улица
1-к квартира, 30 м², 30/32 эт.;5700000;ул. Семчинская, д. 11, корп. 2;3 недели назад;2020-11-30 09:56:13.777014;30.0;1; 30;32 эт.;190000;Семчинская улица
1-к квартира, 42.3 м², 9/22 эт.;2400000;Солотчинское ш., стр. 3;2 недели назад;2020-11-30 09:56:13.777014;42.3;1; 9;22 эт.;56737;Солотчинское шоссе
2-к квартира, 67.5 м², 10/10 эт.;2422680;ул. Рыбновская, д. 5;2 недели назад;2020-11-30 09:56:13.777014;67.5;2; 10;10 эт.;35891;Улица Княжье Поле
2-к квартира, 68.6 м², 7/18 эт.;1910000;ул. Зубковой, стр. 5;1 неделю назад;2020-11-30 09:56:13.777014;68.6;2; 7;18 эт.;27842;Улица Зубковой
3-к квартира, 112 м², 15/28 эт.;2190000;Московское ш., 2 оч.;1 неделю назад;2020-11-30 09:56:13.777014;112.0;3; 15;28 эт.;19553;Московское шоссе
2-к квартира, 68.5 м², 10/12 эт.;1937000;Солотчинское ш., стр. 2;2 недели назад;2020-11-30 09:56:13.777014;68.5;2; 10;12 эт.;28277;Солотчинское шоссе
2-к квартира, 70.7 м², 9/26 эт.;2847000;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;3 недели назад;2020-11-30 09:56:13.777014;70.7;2; 9;26 эт.;40268;Касимовское шоссе
3-к квартира, 86.1 м², 24/25 эт.;2410970;с. Дядьково, пр-д 2-й Бульварный, д. 2;3 недели назад;2020-11-30 09:56:13.777014;86.1;3; 24;25 эт.;28001;село Дядьково
2-к квартира, 59 м², 18/26 эт.;4925310;Солотчинское ш., 4к1;1 неделю назад;2020-11-30 09:56:13.777014;59.0;2; 18;26 эт.;83479;Солотчинское шоссе
1-к квартира, 32 м², 17/17 эт.;3357873;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 1А, 1Б, 1В;1 неделю назад;2020-11-30 09:56:13.777014;32.0;1; 17;17 эт.;104933;Касимовское шоссе
3-к квартира, 104.1 м², 6/20 эт.;6150000;Касимовское ш., жилой дом;2 недели назад;2020-11-30 09:56:13.777014;104.1;3; 6;20 эт.;59077;Касимовское шоссе
1-к квартира, 31.5 м², 13/18 эт.;5001960;ул. Новоселов, д. 45а;1 неделю назад;2020-11-30 09:56:13.777014;31.5;1; 13;18 эт.;158792;Улица Новоселов
3-к квартира, 101.8 м², 1/20 эт.;3813000;ш. Московское, стр. 3;1 неделю назад;2020-11-30 09:56:13.777014;101.8;3; 1;20 эт.;37455;Московское шоссе
1-к квартира, 42.9 м², 4/23 эт.;4432000;с. Дядьково, ул. Большая, д. 6;1 неделю назад;2020-11-30 09:56:13.777014;42.9;1; 4;23 эт.;103310;село Дядьково
3-к квартира, 78.7 м², 14/20 эт.;3274563;ул. Тимуровцев, д. 5, корп. 5;1 неделю назад;2020-11-30 09:56:13.777014;78.7;3; 14;20 эт.;41608;Улица Тимуровцев
1-к квартира, 36.4 м², 4/17 эт.;1776555;с. Дядьково, 2-й Бульварный пр-д, д. 1;4 дня назад;2020-11-30 09:56:13.777014;36.4;1; 4;17 эт.;48806;село Дядьково
1-к квартира, 37 м², 3/17 эт.;4974400;ул. Тимуровцев, д. 5, корп. 5;1 неделю назад;2020-11-30 09:56:13.777014;37.0;1; 3;17 эт.;134443;Улица Тимуровцев
3-к квартира, 96 м², 9/16 эт.;1640000;р-н Песочня, мкр. 7, стр. 7;2 недели назад;2020-11-30 09:56:13.777014;96.0;3; 9;16 эт.;17083;7-й микрорайон
1-к квартира, 43.6 м², 6/26 эт.;4683160;ул. Олимпийский городок, д. 4;1 неделю назад;2020-11-30 09:56:13.777014;43.6;1; 6;26 эт.;107411;микрорайон Олимпийский городок
1-к квартира, 37.8 м², 5/10 эт.;2200000;с. Дядьково, ул. Большая, д. 6;3 недели назад;2020-11-30 09:56:13.777014;37.8;1; 5;10 эт.;58201;село Дядьково
1-к квартира, 40.7 м², 14/26 эт.;3775000;ул. Зубковой, стр. 5;1 неделю назад;2020-11-30 09:56:13.777014;40.7;1; 14;26 эт.;92751;Улица Зубковой
1-к квартира, 33.6 м², 17/26 эт.;1928140;ул. Дзержинского, д. 19;3 дня назад;2020-11-30 09:56:13.777014;33.6;1; 17;26 эт.;57385;Улица Дзержинского
2-к квартира, 68.6 м², 15/18 эт.;2100000;Касимовское ш., жилой дом;2 недели назад;2020-11-30 09:56:13.777014;68.6;2; 15;18 эт.;30612;Касимовское шоссе
2-к квартира, 71 м², 6/10 эт.;6189750;ул. Гражданская/Касимовское ш., д. 21, 23, 22/2, б/с 2А, 2Б;1 неделю назад;2020-11-30 09:56:13.777014;71.0;2; 6;10 эт.;87179;Касимовское шоссе
1-к квартира, 35 м², 19/24 эт.;2441971;Московское ш., стр. 2;1 неделю назад;2020-11-30 09:56:13.777014;35.0;1; 19;24 эт.;69770;Московское шоссе
2-к квартира, 61.6 м², 14/16 эт.;2756480;с. Дядьково, квартал Бульвар Оптимистов;1 неделю назад;2020-11-30 09:56:13.777014;61.6;2; 14;16 эт.;44748;село Дядьково
1-к квартира, 45 м², 20/26 эт.;2538000;пр-д Окский, стр. 1;2 недели назад;2020-11-30 09:56:13.777014;45.0;1; 20;26 эт.;56400;Окский проезд
3-к квартира, 87.2 м², 25/25 эт.;1923040;ул. Островского, д. 122, блок-секция 1А, 1Б, 1В;1 неделю назад;2020-11-30 09:56:13.777014;87.2;3; 25;25 эт.;22053;Поселок Остров
